DATE,IPUEN3251C021000000
1988-01-01,33.5
1989-01-01,12.0
1990-01-01,-3.9
1991-01-01,-16.8
1992-01-01,-6.0
1993-01-01,-0.2
1994-01-01,13.5
1995-01-01,24.8
1996-01-01,-24.0
1997-01-01,33.2
1998-01-01,5.4
1999-01-01,-21.7
2000-01-01,-15.4
2001-01-01,-34.0
2002-01-01,59.9
2003-01-01,13.7
2004-01-01,63.1
2005-01-01,28.5
2006-01-01,19.0
2007-01-01,8.8
2008-01-01,-3.5
2009-01-01,-22.8
2010-01-01,48.9
2011-01-01,10.2
2012-01-01,-1.4
2013-01-01,-1.6
2014-01-01,-4.2
2015-01-01,-9.4
2016-01-01,7.6
2017-01-01,-5.1
2018-01-01,7.7
2019-01-01,-10.7
2020-01-01,-15.3
